burst,t_ref_s,latency_ms,corr_peak,quality_db,kept
1,1.6083,94.436,0.9976,34.11,1
2,3.3950,83.853,0.9940,34.11,1
3,5.1603,83.665,0.9962,34.16,1
4,6.9150,83.757,0.9978,34.72,1
5,10.4350,83.658,0.9983,34.48,1
6,12.1790,83.647,0.9982,34.63,1
7,13.9337,83.734,0.9975,34.73,1
8,17.4110,83.683,0.9981,34.84,1
9,19.1763,83.717,0.9986,34.14,1
10,22.6857,83.656,0.9979,34.69,1
11,24.4617,83.585,0.9962,34.39,1
12,26.2377,83.733,0.9941,34.07,1
13,28.0030,83.708,0.9960,35.05,1
14,29.7683,704.329,0.9352,5.48,0
15,31.5337,83.648,0.9958,34.52,1
16,35.0430,83.626,0.9971,34.64,1
17,36.7977,83.628,0.9964,34.33,1
18,38.5630,83.554,0.9950,33.91,1
19,40.3070,83.687,0.9966,34.51,1
20,42.0617,207.214,0.9271,0.05,0
21,45.5923,411.124,0.9538,-0.89,0
22,47.3577,81.076,0.9968,34.69,1
23,49.1230,81.036,0.9984,34.85,1
24,50.8670,81.000,0.9983,34.58,1
25,52.6430,81.058,0.9990,34.39,1
26,54.3977,78.511,0.9968,34.60,1
27,56.1523,78.479,0.9972,34.69,1
28,57.8963,78.564,0.9939,33.73,1
29,59.6723,78.532,0.9942,33.90,1
30,61.4483,76.019,0.9968,34.18,1
31,63.2030,75.889,0.9950,34.65,1
32,64.9470,75.851,0.9949,33.98,1
33,66.6910,75.913,0.9945,33.88,1
34,68.4457,73.364,0.9972,33.76,1
35,70.2110,83.872,0.9948,34.46,1
36,71.9550,73.239,0.9954,34.39,1
37,73.7203,73.348,0.9964,34.35,1
38,75.4857,73.299,0.9973,34.37,1
39,77.2403,314.994,0.9351,3.42,0
40,78.9950,73.301,0.9974,33.75,1
41,80.7603,73.242,0.9960,34.52,1
42,82.5150,73.288,0.9972,34.53,1
43,84.2590,73.259,0.9939,33.97,1
44,86.0030,73.169,0.9956,33.68,1
45,87.7790,73.250,0.9954,34.24,1
46,89.5230,73.350,0.9947,33.41,1
47,91.2670,73.287,0.9961,34.37,1
48,94.7763,115.818,0.9046,11.82,1
49,98.2857,73.307,0.9929,33.61,1
50,100.0510,73.163,0.9963,34.25,1
51,101.8057,858.770,0.9529,2.31,0
52,103.5817,73.153,0.9959,34.03,1
