burst,t_ref_s,latency_ms,corr_peak,quality_db,kept
1,1.4077,759.145,0.9532,-9.80,0
2,2.9383,149.546,0.9964,21.92,1
3,4.4797,149.552,0.9967,21.96,1
4,6.0210,139.009,0.9987,22.13,1
5,7.5623,138.959,0.9983,21.13,1
6,13.7063,428.454,0.9402,-12.73,0
7,15.2477,295.335,0.9511,-6.27,0
8,18.2983,149.490,0.9945,21.62,1
9,19.8397,149.425,0.9953,22.17,1
10,24.4317,149.419,0.9979,22.45,1
11,25.9623,385.767,0.9552,-12.15,0
12,33.6477,263.466,0.9456,-7.36,0
13,35.1677,138.763,0.9952,21.58,1
14,36.6983,138.763,0.9938,21.53,1
15,38.2610,149.330,0.9959,21.05,1
16,39.8023,149.424,0.9978,21.24,1
17,41.3437,149.395,0.9972,21.09,1
18,42.8850,529.972,0.9366,-12.23,0
19,47.4877,136.633,0.9987,21.41,1
20,49.0290,136.759,0.9936,20.62,1
21,55.2050,391.261,0.9506,-8.88,0
22,56.7677,136.530,0.9960,21.56,1
23,58.2770,136.666,0.9971,21.61,1
24,62.8797,769.936,0.9548,-8.05,0
25,64.3997,147.274,0.9974,21.59,1
26,65.9410,136.523,0.9950,21.51,1
27,67.4823,136.602,0.9973,22.03,1
28,69.0130,136.569,0.9967,21.91,1
29,70.5543,147.209,0.9964,22.29,1
30,72.0957,136.632,0.9987,22.46,1
31,73.6370,136.640,0.9928,20.85,1
32,75.1570,238.389,0.9503,-9.08,0
33,76.6983,391.192,0.9595,-10.84,0
34,78.2290,136.441,0.9976,22.02,1
35,79.7490,136.475,0.9957,22.03,1
36,81.3117,136.517,0.9954,21.40,1
37,82.8637,136.492,0.9957,21.97,1
38,84.3837,136.444,0.9976,21.56,1
39,85.9143,273.981,0.9359,-8.49,0
40,87.4450,620.671,0.9305,-8.30,0
41,88.9757,136.510,0.9926,21.05,1
42,90.5063,136.376,0.9974,22.12,1
